movie_title,genre,n,accuracy,mean_confidence,mean_proxy_ratio,median_proxy_ratio,mean_dist_v0_v1,mean_dist_v0_v2
Kingpin,Comedy,5,1.0,0.754914989238764,1.0005897537118391,1.0005897537118391,48.825531005859375,48.7967529296875
Being John Malkovich,Comedy,9,0.7777777777777778,0.7057850321820706,1.000312197326608,1.000312197326608,62.12785339355469,62.108463287353516
Ronin,Action,7,0.8571428571428571,0.7431679988546758,0.9998987025331089,0.9998987025331089,57.64921951293945,57.655059814453125
Brazil,Sci-Fi,7,0.7142857142857143,0.7185943982824885,0.9998953130384357,0.9998953130384357,62.632328033447266,62.638885498046875
Mad Max,Action,6,0.8333333333333334,0.7057850321820706,0.9995711621877107,0.9995711621877107,60.676414489746094,60.70244598388672
"Truman Show, The",Drama,8,0.625,0.7185943982824885,0.9989400921243853,0.9989400921243853,50.02098846435547,50.07406234741211
Animal House,Comedy,6,0.8333333333333334,0.7057850173365652,0.9987587782384034,0.9987587782384033,53.2654914855957,53.331687927246094
Big Daddy,Comedy,9,0.6666666666666666,0.7057850321820706,0.998681101943566,0.998681101943566,47.46997833251953,47.53266906738281
Wayne's World,Comedy,5,1.0,0.7185943982824885,0.9986669766083734,0.9986669766083734,55.50848388671875,55.582576751708984
Glengarry Glen Ross,Drama,5,0.8,0.7185943982824885,0.9983367195472642,0.9983367195472642,49.24608612060547,49.32813262939453
Austin Powers: The Spy Who Shagged Me,Comedy,9,0.8888888888888888,0.7057850321820706,0.9983018343620044,0.9983018343620044,43.50993728637695,43.58395004272461
Jurassic Park,Action,13,0.7692307692307693,0.7057850321820707,0.9983015568756417,0.9983015568756417,58.500770568847656,58.60029983520508
Falling Down,Action,5,0.8,0.731058573739949,0.9967616648084949,0.9967616648084949,49.76821517944336,49.92990493774414
Cliffhanger,Action,5,0.8,0.7185943982824885,0.9964103268774658,0.9964103268774657,48.43280029296875,48.60728454589844
Lethal Weapon 2,Action,6,1.0,0.7185943982824886,0.9958723573918352,0.9958723573918353,44.12154006958008,44.304412841796875
Grosse Pointe Blank,Comedy,6,0.16666666666666666,0.7185943982824886,0.9952466218732269,0.9952466218732269,54.3289680480957,54.58844757080078
Airplane II: The Sequel,Comedy,5,1.0,0.7185943982824885,0.9944102956126839,0.9944102956126839,50.57602310180664,50.86031723022461
"13th Warrior, The",Action,6,1.0,0.754914989238764,0.9933443537421773,0.9933443537421773,2.0574443340301514,2.0712296962738037
Willy Wonka and the Chocolate Factory,Adventure,6,1.0,0.7057850321820706,0.9929073031647023,0.9929073031647023,46.547306060791016,46.87981033325195
"Bridge on the River Kwai, The",Drama,6,0.6666666666666666,0.7185943828932281,0.9926005847222402,0.9926005847222401,44.888065338134766,45.222686767578125
Star Wars: Episode VI - Return of the Jedi,Action,12,0.8333333333333334,0.7057850321820706,0.99258536455214,0.9925853645521399,63.76755142211914,64.243896484375
Star Trek: First Contact,Action,6,0.8333333333333334,0.7057850321820706,0.9924647821896201,0.99246478218962,50.853397369384766,51.239498138427734
"Fish Called Wanda, A",Comedy,7,0.7142857142857143,0.731058573739949,0.9917333396162592,0.9917333396162592,51.42237091064453,51.85100555419922
Raiders of the Lost Ark,Action,14,0.7857142857142857,0.718594382893228,0.9916603269326629,0.9916603269326629,50.80013656616211,51.22735595703125
"Thomas Crown Affair, The",Action,7,0.7142857142857143,0.7057850321820706,0.9914845644381812,0.9914845644381812,42.237369537353516,42.600128173828125
Star Wars: Episode IV - A New Hope,Action,10,0.8,0.7185943982824885,0.9905892970193166,0.9905892970193166,52.2133903503418,52.70942306518555
U-571,Action,7,0.7142857142857143,0.7185943982824885,0.9899644827235489,0.9899644827235489,55.133567810058594,55.69247055053711
Ferris Bueller's Day Off,Comedy,11,0.8181818181818182,0.754914989238764,0.9891398552004393,0.9891398552004393,43.0876579284668,43.560733795166016
Blazing Saddles,Comedy,5,0.8,0.7057850321820706,0.9875718439648207,0.9875718439648207,56.2936897277832,57.00212097167969
Star Wars: Episode I - The Phantom Menace,Action,9,0.6666666666666666,0.7185943982824885,0.9816528465217558,0.9816528465217559,57.58785629272461,58.66417694091797
Star Trek VI: The Undiscovered Country,Action,8,0.875,0.7057850321820706,0.9718471536868766,0.9718471536868766,54.24387741088867,55.81523513793945
Beetlejuice,Comedy,8,0.875,0.7057850321820706,0.9673824360917683,0.9673824360917683,56.41264343261719,58.314727783203125
Toy Story,Animation,13,0.7692307692307693,0.731058573739949,0.9599102890261132,0.9599102890261132,49.878944396972656,51.96208953857422
Tron,Action,7,1.0,0.754914989238764,0.9535943446855993,0.9535943446855994,59.56686019897461,62.46561813354492
Risky Business,Comedy,5,0.6,0.731058573739949,0.9467454710757129,0.9467454710757129,59.47648239135742,62.82204055786133
"Treasure of the Sierra Madre, The",Adventure,5,0.6,0.7662936356289387,0.9386672725309136,0.9386672725309136,50.60762023925781,53.91433334350586
"Thin Red Line, The",Action,6,1.0,0.7185943982824886,0.9345087109450865,0.9345087109450865,55.74834060668945,59.65523910522461
Reservoir Dogs,Crime,5,1.0,0.7057850321820706,0.9344517140417528,0.9344517140417528,52.60414123535156,56.294124603271484
"Princess Bride, The",Action,8,0.75,0.7057850321820706,0.9295715150515002,0.9295715150515002,55.261417388916016,59.44826889038086
"Good Morning, Vietnam",Comedy,5,0.8,0.731058573739949,0.9255268311118312,0.9255268311118312,58.552589416503906,63.26406478881836
"Godfather: Part II, The",Action,6,1.0,0.7057850321820706,0.9193974373523202,0.9193974373523202,43.330230712890625,47.128944396972656
Austin Powers: International Man of Mystery,Comedy,8,0.625,0.7057850321820706,0.9185387871068863,0.9185387871068863,52.7420539855957,57.419517517089844
Jaws,Action,6,0.8333333333333334,0.7057850173365652,0.91640452960556,0.91640452960556,49.050193786621094,53.52460861206055
Broken Arrow,Action,5,0.8,0.7185943982824885,0.9000634795745178,0.9000634795745177,59.193546295166016,65.7659683227539
Face/Off,Action,7,0.7142857142857143,0.7185943982824885,0.8990360407141268,0.8990360407141268,49.233211517333984,54.76222229003906
Saving Private Ryan,Action,18,0.7777777777777778,0.7185943982824885,0.8941554692186509,0.8941554692186509,48.5916862487793,54.343666076660156
Robocop,Action,7,0.8571428571428571,0.7185943982824885,0.8935326724486686,0.8935326724486686,56.533164978027344,63.2692756652832
Trading Places,Comedy,8,0.75,0.7057850321820706,0.8919367529562761,0.8919367529562761,52.533470153808594,58.89820098876953
"Lion King, The",Animation,5,1.0,0.718594382893228,0.8876382294919021,0.8876382294919021,48.47019958496094,54.605804443359375
Easy Rider,Adventure,6,0.6666666666666666,0.7057850321820706,0.8669661550127922,0.8669661550127922,54.0916748046875,62.391910552978516
Airplane!,Comedy,8,0.625,0.7057850321820706,0.8666229604852718,0.8666229604852718,57.49106979370117,66.33919525146484
Akira,Adventure,5,0.8,0.731058573739949,0.8443228087971333,0.8443228087971333,52.894081115722656,62.646751403808594
King Kong,Action,9,0.6666666666666666,0.7431679988546758,0.8140443335575995,0.8140443335575995,51.33914566040039,63.066768646240234
Highlander,Action,6,0.8333333333333334,0.754914989238764,0.7889982699436066,0.7889982699436066,51.89554977416992,65.77397155761719
"Adventures of Robin Hood, The",Action,5,1.0,0.7431679988546758,0.07532803011284953,0.07532803011284953,4.20279598236084,55.79325485229492
